id,title,so_ky_hieu,ngay_ban_hanh,loai_van_ban,ngay_co_hieu_luc,ngay_het_hieu_luc,nguon_thu_thap,ngay_dang_cong_bao,nganh,linh_vuc,co_quan_ban_hanh,chuc_danh,nguoi_ky,pham_vi,thong_tin_ap_dung,tinh_trang_hieu_luc,agent_category,status_checked_at,status_filter
172978,"Nghị quyết số 111/2024/NQ-HĐND Bãi bỏ Nghị quyết số 78/2024/NQ-HĐND ngày 10 tháng 7 năm 2024 của Hội đồng nhân dân tỉnh Gia Lai quy định giá dịch vụ khám bệnh, chữa bệnh không thuộc phạm vi thanh toán của Quỹ Bảo hiểm y tế nhưng không phải là dịch vụ khám bệnh, chữa bệnh theo yêu cầu trong các cơ sở khám bệnh, chữa bệnh của Nhà nước thuộc tỉnh Gia Lai quản lý",111/2024/NQ-HĐND,11/12/2024,Nghị quyết,21/12/2024,,Văn phòng Đoàn đại biểu Quốc hội và Hội đồng nhân dân tỉnh,,,Chưa phân loại,HĐND Tỉnh Gia Lai,Chủ tịch,Hồ Văn Niên,Địa phương,,Còn hiệu lực,"bhyt,vien_phi",2026-08-04,Còn hiệu lực và không là target của quan hệ Bãi bỏ/Thay thế
157778,Nghị quyết số 105/2022/NQ-HĐND Quy định mức hỗ trợ đóng bảo hiểm y tế cho nhóm đối tượng trên địa bàn tỉnh Nam Định,105/2022/NQ-HĐND,09/12/2022,Nghị quyết,01/01/2023,,,,Lao động - Thương binh và Xã hội,Chưa phân loại,HĐND tỉnh Nam Định,Chủ tịch,Lê Quốc Chỉnh,Địa phương,,Còn hiệu lực,bhyt,2026-08-04,Còn hiệu lực và không là target của quan hệ Bãi bỏ/Thay thế
177421,"Nghị quyết số 05/2025/NQ-HĐND Bãi bỏ Nghị quyết số 54/2019/NQ-HĐND ngày 13/12/2019 của Hội đồng nhân dân tỉnh Bình Định quy định mức giá dịch vụ khám bệnh, chữa bệnh không thuộc phạm vi thanh toán của Quỹ bảo hiểm y tế trong các cơ sở khám bệnh, chữa bệnh của Nhà nước thuộc tỉnh Bình Định",05/2025/NQ-HĐND,28/04/2025,Nghị quyết,08/05/2025,,Văn phòng HĐND tỉnh,,,Chưa phân loại,HĐND tỉnh Bình Định,Chủ tịch,Hồ Quốc Dũng,Địa phương,,Còn hiệu lực,"bhyt,vien_phi",2026-08-04,Còn hiệu lực và không là target của quan hệ Bãi bỏ/Thay thế
128759,"Quyết định số 02/2018/QĐ-UBND Bãi bỏ các quy định về thực hiện mức hỗ trợ đóng bảo hiểm xã hội tự nguyện, bảo hiểm y tế cho cán bộ không chuyên trách xã, phường, thị trấn trên địa bàn tỉnh Quảng Nam theo Quyết định số 02/2010/QĐ-UBND ngày 19/01/2010 của UBND tỉnh Quảng Nam",02/2018/QĐ-UBND,31/01/2018,Quyết định,15/02/2018,,Bản chính văn bản,,Lao động - Thương binh và Xã hội,Chưa phân loại,UBND tỉnh Quảng Nam,Chủ tịch,Đinh Văn Thu,Địa phương,,Còn hiệu lực,bhyt,2026-08-04,Còn hiệu lực và không là target của quan hệ Bãi bỏ/Thay thế
173176,"Nghị quyết số 68/2024/NQ-HĐND Quy định giá dịch vụ khám bệnh, chữa bệnh thuộc danh mục thanh toán của Quỹ bảo hiểm y tế, giá dịch vụ khám bệnh, chữa bệnh do ngân sách nhà nước thanh toán và giá dịch vụ khám bệnh, chữa bệnh không thuộc danh mục thanh toán của Quỹ bảo hiểm y tế mà không phải là dịch vụ khám bệnh, chữa bệnh theo yêu cầu tại các cơ sở khám bệnh, chữa bệnh công lập thuộc thành phố Đà Nẵng",68/2024/NQ-HĐND,13/12/2024,Nghị quyết,01/01/2025,,,,"Y tế, Tài chính",Chưa phân loại,HĐND thành phố Đà Nẵng,Chủ tịch,Ngô Xuân Thắng,Địa phương,,Còn hiệu lực,"bhyt,vien_phi",2026-08-04,Còn hiệu lực và không là target của quan hệ Bãi bỏ/Thay thế
181847,"Nghị định số 233/2025/NĐ-CP Quy định cơ chế tài chính về bảo hiểm xã hội, bảo hiểm thất nghiệp, bảo hiểm y tế; chi tổ chức và hoạt động bảo hiểm xã hội, bảo hiểm thất nghiệp, bảo hiểm y tế",233/2025/NĐ-CP,26/08/2025,Nghị định,26/08/2025,,,,"Tài chính, Bảo Hiểm","Bảo hiểm xã hội, Bảo hiểm y tế",Chính phủ,Phó Thủ tướng,Hồ Đức Phớc,Trung ương,,Còn hiệu lực,bhyt,2026-08-04,Còn hiệu lực và không là target của quan hệ Bãi bỏ/Thay thế
168803,Nghị quyết số 15/2024/NQ-HĐND Quy định chính sách hỗ trợ kinh phí đóng bảo hiểm y tế; chi phí cùng chi trả đối với thuốc kháng HIV cho người nhiễm HIV/AIDS có thẻ bảo hiểm y tế trên địa bàn tỉnh Nghệ An,15/2024/NQ-HĐND,11/07/2024,Nghị quyết,21/07/2024,,,,,Chưa phân loại,HĐND Tỉnh Nghệ An,Chủ tịch,Thái Thanh Quý,Địa phương,,Còn hiệu lực,bhyt,2026-08-04,Còn hiệu lực và không là target của quan hệ Bãi bỏ/Thay thế
185924,"Nghị quyết số 50/2025/NQ-HĐND Sửa đổi, bổ sung một số điều của Nghị quyết số 28/2024/NQ-HĐND ngày 31 tháng 12 năm 2024 của Hội đồng nhân dân tỉnh quy định giá dịch vụ khám bệnh, chữa bệnh do quỹ bảo hiểm y tế thanh toán; giá dịch vụ khám bệnh, chữa bệnh do ngân sách nhà nước thanh toán; giá dịch vụ khám bệnh, chữa bệnh không thuộc danh mục do quỹ bảo hiểm y tế thanh toán mà không phải là dịch vụ khám bệnh, chữa bệnh theo yêu cầu đối với các cơ sở khám bệnh, chữa bệnh của Nhà nước thuộc tỉnh Lạng Sơn quản lý",50/2025/NQ-HĐND,30/12/2025,Nghị quyết,01/01/2026,,,,Lao động - Thương binh và Xã hội,"Lao động, tiền lương, tiền công",HĐND Tỉnh Lạng Sơn,Chủ tịch,Đoàn Thị Hậu,Địa phương,,Còn hiệu lực,"bhyt,vien_phi",2026-08-04,Còn hiệu lực và không là target của quan hệ Bãi bỏ/Thay thế
102592,Quyết định số 45/2012/QĐ-UBND Ban hành Đề án Hỗ trợ kinh phí mua thẻ bảo hiểm y tế cho hộ gia đình cận nghèo trên địa bàn tỉnh Ninh Thuận giai đoạn 2012 - 2015,45/2012/QĐ-UBND,17/08/2012,Quyết định,27/08/2012,,,,,Chưa phân loại,UBND tỉnh Ninh Thuận,Phó Chủ tịch,Võ Đại,Địa phương,,Còn hiệu lực,bhyt,2026-08-04,Còn hiệu lực và không là target của quan hệ Bãi bỏ/Thay thế
184559,Nghị quyết số 64/2025/NQ-HĐND Quy định mức hỗ trợ đóng bảo hiểm y tế cho một số đối tượng trên địa bàn tỉnh Phú Thọ giao đoạn 2026-2030,64/2025/NQ-HĐND,25/11/2025,Nghị quyết,01/01/2026,,Hệ điều hành văn bản của tỉnh,,Y tế,,HĐND Tỉnh Phú Thọ,Chủ tịch,Bùi Đức Hinh,Địa phương,,Còn hiệu lực,bhyt,2026-08-04,Còn hiệu lực và không là target của quan hệ Bãi bỏ/Thay thế
184589,"Nghị quyết số 68/2025/NQ-HĐND Quy định mức hỗ trợ đóng bảo hiểm y tế cho các đối tượng cao hơn mức hỗ trợ tối thiểu; đối tượng được hỗ trợ và mức hỗ trợ cùng chi trả chi phí khám bệnh, chữa bệnh bảo hiểm y tế cho người tham gia bảo hiểm y tế khi đi khám bệnh, chữa bệnh trên địa bàn tỉnh Lâm Đồng",68/2025/NQ-HĐND,10/12/2025,Nghị quyết,01/01/2026,,Văn bản gốc,,An ninh quốc gia,Bảo vệ bí mật nhà nước,HĐND Tỉnh Lâm Đồng,Chủ tịch,Lưu Văn Trung,Địa phương,,Còn hiệu lực,"bhyt,vien_phi",2026-08-04,Còn hiệu lực và không là target của quan hệ Bãi bỏ/Thay thế
185356,Nghị quyết số '26/2025/NQ-HĐND Quy định mức hỗ trợ đóng bảo hiểm y tế cho một số đối tượng trên địa bàn thành phố Cần Thơ,'26/2025/NQ-HĐND,10/12/2025,Nghị quyết,10/12/2025,,Bản gốc văn bản,,Lao động - Thương binh và Xã hội,"Lao động, tiền lương, tiền công",HĐND Thành phố Cần Thơ,Chủ tịch,Đồng Văn Thanh,Địa phương,,Còn hiệu lực,bhyt,2026-08-04,Còn hiệu lực và không là target của quan hệ Bãi bỏ/Thay thế
