id,title,so_ky_hieu,ngay_ban_hanh,loai_van_ban,ngay_co_hieu_luc,ngay_het_hieu_luc,nguon_thu_thap,ngay_dang_cong_bao,nganh,linh_vuc,co_quan_ban_hanh,chuc_danh,nguoi_ky,pham_vi,thong_tin_ap_dung,tinh_trang_hieu_luc,agent_category,status_checked_at,status_filter
172978,"Nghị quyết số 111/2024/NQ-HĐND Bãi bỏ Nghị quyết số 78/2024/NQ-HĐND ngày 10 tháng 7 năm 2024 của Hội đồng nhân dân tỉnh Gia Lai quy định giá dịch vụ khám bệnh, chữa bệnh không thuộc phạm vi thanh toán của Quỹ Bảo hiểm y tế nhưng không phải là dịch vụ khám bệnh, chữa bệnh theo yêu cầu trong các cơ sở khám bệnh, chữa bệnh của Nhà nước thuộc tỉnh Gia Lai quản lý",111/2024/NQ-HĐND,11/12/2024,Nghị quyết,21/12/2024,,Văn phòng Đoàn đại biểu Quốc hội và Hội đồng nhân dân tỉnh,,,Chưa phân loại,HĐND Tỉnh Gia Lai,Chủ tịch,Hồ Văn Niên,Địa phương,,Còn hiệu lực,"bhyt,vien_phi",2026-08-04,Còn hiệu lực và không là target của quan hệ Bãi bỏ/Thay thế
177421,"Nghị quyết số 05/2025/NQ-HĐND Bãi bỏ Nghị quyết số 54/2019/NQ-HĐND ngày 13/12/2019 của Hội đồng nhân dân tỉnh Bình Định quy định mức giá dịch vụ khám bệnh, chữa bệnh không thuộc phạm vi thanh toán của Quỹ bảo hiểm y tế trong các cơ sở khám bệnh, chữa bệnh của Nhà nước thuộc tỉnh Bình Định",05/2025/NQ-HĐND,28/04/2025,Nghị quyết,08/05/2025,,Văn phòng HĐND tỉnh,,,Chưa phân loại,HĐND tỉnh Bình Định,Chủ tịch,Hồ Quốc Dũng,Địa phương,,Còn hiệu lực,"bhyt,vien_phi",2026-08-04,Còn hiệu lực và không là target của quan hệ Bãi bỏ/Thay thế
173176,"Nghị quyết số 68/2024/NQ-HĐND Quy định giá dịch vụ khám bệnh, chữa bệnh thuộc danh mục thanh toán của Quỹ bảo hiểm y tế, giá dịch vụ khám bệnh, chữa bệnh do ngân sách nhà nước thanh toán và giá dịch vụ khám bệnh, chữa bệnh không thuộc danh mục thanh toán của Quỹ bảo hiểm y tế mà không phải là dịch vụ khám bệnh, chữa bệnh theo yêu cầu tại các cơ sở khám bệnh, chữa bệnh công lập thuộc thành phố Đà Nẵng",68/2024/NQ-HĐND,13/12/2024,Nghị quyết,01/01/2025,,,,"Y tế, Tài chính",Chưa phân loại,HĐND thành phố Đà Nẵng,Chủ tịch,Ngô Xuân Thắng,Địa phương,,Còn hiệu lực,"bhyt,vien_phi",2026-08-04,Còn hiệu lực và không là target của quan hệ Bãi bỏ/Thay thế
185924,"Nghị quyết số 50/2025/NQ-HĐND Sửa đổi, bổ sung một số điều của Nghị quyết số 28/2024/NQ-HĐND ngày 31 tháng 12 năm 2024 của Hội đồng nhân dân tỉnh quy định giá dịch vụ khám bệnh, chữa bệnh do quỹ bảo hiểm y tế thanh toán; giá dịch vụ khám bệnh, chữa bệnh do ngân sách nhà nước thanh toán; giá dịch vụ khám bệnh, chữa bệnh không thuộc danh mục do quỹ bảo hiểm y tế thanh toán mà không phải là dịch vụ khám bệnh, chữa bệnh theo yêu cầu đối với các cơ sở khám bệnh, chữa bệnh của Nhà nước thuộc tỉnh Lạng Sơn quản lý",50/2025/NQ-HĐND,30/12/2025,Nghị quyết,01/01/2026,,,,Lao động - Thương binh và Xã hội,"Lao động, tiền lương, tiền công",HĐND Tỉnh Lạng Sơn,Chủ tịch,Đoàn Thị Hậu,Địa phương,,Còn hiệu lực,"bhyt,vien_phi",2026-08-04,Còn hiệu lực và không là target của quan hệ Bãi bỏ/Thay thế
184589,"Nghị quyết số 68/2025/NQ-HĐND Quy định mức hỗ trợ đóng bảo hiểm y tế cho các đối tượng cao hơn mức hỗ trợ tối thiểu; đối tượng được hỗ trợ và mức hỗ trợ cùng chi trả chi phí khám bệnh, chữa bệnh bảo hiểm y tế cho người tham gia bảo hiểm y tế khi đi khám bệnh, chữa bệnh trên địa bàn tỉnh Lâm Đồng",68/2025/NQ-HĐND,10/12/2025,Nghị quyết,01/01/2026,,Văn bản gốc,,An ninh quốc gia,Bảo vệ bí mật nhà nước,HĐND Tỉnh Lâm Đồng,Chủ tịch,Lưu Văn Trung,Địa phương,,Còn hiệu lực,"bhyt,vien_phi",2026-08-04,Còn hiệu lực và không là target của quan hệ Bãi bỏ/Thay thế
172810,"Nghị quyết số 26/2024/NQ-HĐND bãi bỏ Nghị quyết số 02/2024/NQ-HĐND ngày 26/02/2024 của HĐND tỉnh Quy định giá dịch vụ khám bệnh, chữa bệnh không thuộc phạm vi thanh toán của Quỹ Bảo hiểm y tế trong các cơ sở khám bệnh, chữa bệnh của Nhà nước trên địa bàn tỉnh Trà Vinh",26/2024/NQ-HĐND,09/12/2024,Nghị quyết,01/01/2025,,,,Lao động - Thương binh và Xã hội,Chưa phân loại,HĐND tỉnh Trà Vinh,Chủ tịch,Kim Ngọc Thái,Địa phương,,Còn hiệu lực,"bhyt,vien_phi",2026-08-04,Còn hiệu lực và không là target của quan hệ Bãi bỏ/Thay thế
179585,"Thông tư số 22/2021/TT-BYT của Bộ Y tế về quy định ngưng hiệu lực Thông tư 04/2021/TT-BYT ngày 29/4/2021 của Bộ trưởng Bộ Y tế hướng dẫn thanh toán chi phí khám bệnh, chữa bệnh bảo hiểm y tế theo định suất",22/2021/TT-BYT,01/12/2021,Thông tư,01/12/2021,,,,Y tế,Kế hoạch tài chính,Bộ Y tế,Thứ trưởng,Trần Văn Thuấn,Trung ương,,Còn hiệu lực,"bhyt,vien_phi",2026-08-04,Còn hiệu lực và không là target của quan hệ Bãi bỏ/Thay thế
142685,"Quyết định số 25/2020/QĐ-UBND Về việc bãi bỏ Quyết định số 51/2017/QĐ-UBND ngày 21 tháng 12 năm 2017 của Ủy ban nhân dân tỉnh Tây Ninh về việc quy định giá dịch vụ khám bệnh, chữa bệnh không thuộc phạm vi thanh toán của Qũy bảo hiểm y tế trong các cơ sở khám bệnh, chữa bệnh của Nhà nước trên địa bàn tỉnh Tây Ninh",25/2020/QĐ-UBND,22/06/2020,Quyết định,02/07/2020,,Bản chính Quyết định số 25/2020/QĐ-UBND,,Y tế,Môi trường y tế,UBND Tỉnh Tây Ninh,Phó Chủ tịch,Trần Văn Chiến,Địa phương,,Còn hiệu lực,"bhyt,vien_phi",2026-08-04,Còn hiệu lực và không là target của quan hệ Bãi bỏ/Thay thế
126175,"Quyết định số 23/2017/QĐ-UBND Triển khai thực hiện Nghị quyết số 08/2017/NQ-HĐND Ngày 14 tháng 7 năm 2017 của Hội đồng nhân dân tỉnh Bạc Liêu về việc quy định mức giá dịch vụ khám bệnh, chữa bệnh không thuộc phạm vi thanh toán của Quỹ bảo hiểm y tế trong các cơ sở khám bệnh, chữa bệnh của Nhà nước trên địa bàn tỉnh Bạc Liêu",23/2017/QĐ-UBND,17/11/2017,Quyết định,04/12/2017,,Văn bản gốc,,,Chưa phân loại,UBND tỉnh Bạc Liêu,Chủ tịch,Dương Thành Trung,Địa phương,,Còn hiệu lực,"bhyt,vien_phi",2026-08-04,Còn hiệu lực và không là target của quan hệ Bãi bỏ/Thay thế
148465,"Thông tư số 04/2021/TT-BYT hướng dẫn thanh toán chi phí khám bệnh, chữa bệnh bảo hiểm y tế theo định suất",04/2021/TT-BYT,29/04/2021,Thông tư,01/07/2021,,,,Y tế,Bảo hiểm y tế,Bộ Y tế,Thứ trưởng,Trần Văn Thuấn,Trung ương,,Còn hiệu lực,"bhyt,vien_phi",2026-08-04,Còn hiệu lực và không là target của quan hệ Bãi bỏ/Thay thế
